metric,time,cores,i_rep
SpikeShip,91.47135663032532,16,6
SPIKE,396.657998085022,16,7
RISPIKE,161.8592803478241,16,7
SpikeShip,91.37987947463989,16,7
SPIKE,393.74895668029785,16,8
RISPIKE,161.94216799736023,16,8
SpikeShip,87.27902603149414,16,8
SPIKE,392.59137082099915,16,9
RISPIKE,162.63250207901,16,9
SpikeShip,90.5441665649414,16,9
SPIKE,506.0291655063629,32,0
RISPIKE,209.2055127620697,32,0
SpikeShip,114.28503012657166,32,0
SPIKE,519.4826936721802,32,1
RISPIKE,209.99193453788757,32,1
SpikeShip,114.11285328865051,32,1
SPIKE,523.3729474544525,32,2
RISPIKE,211.13227653503418,32,2
SpikeShip,115.26602816581726,32,2
SPIKE,522.183079957962,32,3
RISPIKE,210.21321439743042,32,3
SpikeShip,113.578928232193,32,3
SPIKE,514.7673614025116,32,4
RISPIKE,209.18135857582092,32,4
SpikeShip,112.98134922981262,32,4
SPIKE,512.1868534088135,32,5
RISPIKE,209.48353219032288,32,5
SpikeShip,114.78498530387878,32,5
SPIKE,517.6811459064484,32,6
RISPIKE,206.81507349014282,32,6
SpikeShip,113.09911775588989,32,6
SPIKE,516.0590686798096,32,7
RISPIKE,211.77172350883484,32,7
SpikeShip,114.15797543525696,32,7
SPIKE,518.2864165306091,32,8
RISPIKE,205.81787753105164,32,8
SpikeShip,115.41488146781921,32,8
SPIKE,529.7126483917236,32,9
RISPIKE,210.0623016357422,32,9
SpikeShip,112.21934533119202,32,9
